participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,is_simulated,theta_db,mu_db,beta_db,broad_db
P25,NGEED,1,PRA,Fp1,frontopolar,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,4.979163694688822,7.228078094994849,3.0935960146442234,3.6028675467497173
P25,NGEED,1,PRA,F3,frontal,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,3.8609323673331772,6.8089767315792,2.4865828983146656,2.6642286964055053
P25,NGEED,1,PRA,C3,sentral,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,1.748349951594463,3.847996527054484,1.5755708720249366,0.6718160996770166
P25,NGEED,1,PRA,P3,parietal,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,0.580205473855198,3.464018690755811,2.709569309650643,0.8957758458588501
P25,NGEED,1,PRA,O1,oksipital,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,-0.040650759257523816,0.03117732795994499,-0.8284482692288861,0.34540851009705875
P25,NGEED,1,PRA,F7,frontotemporal,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,6.270964145459175,8.766428316367453,4.717144420598242,5.3356093206708906
P25,NGEED,1,PRA,T3,temporal,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,1.9645364823154559,3.369339538004361,0.8107074880662104,0.7512308278666637
P25,NGEED,1,PRA,T5,temporo-posterior,kiri,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,5.002264886229369,5.743565384211024,0.6023376154649469,3.6252656031419903
P25,NGEED,1,PRA,Fp2,frontopolar,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,9.257394823228218,5.013888398342594,2.9169622540720397,9.2269396459564
P25,NGEED,1,PRA,F4,frontal,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,6.006030691661046,3.584248118758275,3.203905347329787,3.3853289798809385
P25,NGEED,1,PRA,C4,sentral,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,5.017999149182479,3.271437533548877,2.5764960407276547,2.8023576719062646
P25,NGEED,1,PRA,P4,parietal,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,5.720712452440829,4.070316882589175,2.838879386020654,3.1166971400827066
P25,NGEED,1,PRA,O2,oksipital,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,2.9848573533758227,3.9976017225216935,0.012478646170006158,2.124040663557558
P25,NGEED,1,PRA,F8,frontotemporal,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,3.439546492781382,2.3556157041234016,3.4807507795755654,2.34359034765842
P25,NGEED,1,PRA,T4,temporal,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,4.841025002859972,3.2941792333761555,3.5464433466298786,4.051225881573949
P25,NGEED,1,PRA,T6,temporo-posterior,kanan,0.003,2.003,2.0,2.0,ok,video,0.0,True,False,0.45061977156603916,-1.2922288444756589,-1.657244410725653,-0.10987483118907448
P25,NGEED,1,TURUN,Fp1,frontopolar,kiri,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,1.3719857428837514,1.786771428999863,3.3259185254949486,3.5082867992105626
P25,NGEED,1,TURUN,F3,frontal,kiri,7.766,8.835,1.527,1.069,ok,video,0.355,False,False,,,,
P25,NGEED,1,TURUN,C3,sentral,kiri,7.766,8.835,1.527,1.069,ok,video,0.355,False,False,,,,
P25,NGEED,1,TURUN,P3,parietal,kiri,7.766,8.835,1.527,1.069,ok,video,0.168,False,False,,,,
P25,NGEED,1,TURUN,O1,oksipital,kiri,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,-3.8713279442860937,-0.9466351026889299,-1.310209976785469,-3.345696435922669
P25,NGEED,1,TURUN,F7,frontotemporal,kiri,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,1.7036755690860872,1.8957666413578238,4.476889161056786,5.586239435997683
P25,NGEED,1,TURUN,T3,temporal,kiri,7.766,8.835,1.527,1.069,ok,video,0.168,False,False,,,,
P25,NGEED,1,TURUN,T5,temporo-posterior,kiri,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,-1.0770792232971829,-0.27290313892611096,-0.9514098325255276,0.5469362218817082
P25,NGEED,1,TURUN,Fp2,frontopolar,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,3.760398554009903,2.2453574056504735,0.5754931447228095,4.963301012245402
P25,NGEED,1,TURUN,F4,frontal,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,0.552735135872993,-1.128350740075085,-1.7450792255392678,2.1018754427252517
P25,NGEED,1,TURUN,C4,sentral,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,0.6030473968435928,-2.916842184919645,-1.6855920926820431,-0.3343828697629263
P25,NGEED,1,TURUN,P4,parietal,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,-5.009444718348298,-1.1222951750685795,-1.3677819421394588,-1.257178808507284
P25,NGEED,1,TURUN,O2,oksipital,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,-4.445413590973246,-6.361090357410767,-4.484461949180794,-0.5496156433460087
P25,NGEED,1,TURUN,F8,frontotemporal,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,0.7121058654040198,-2.872292616575919,-5.829299228889873,0.21350195890973822
P25,NGEED,1,TURUN,T4,temporal,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,0.7174355624722963,-0.25369268799482114,-2.5790034250463236,-1.3084225174217465
P25,NGEED,1,TURUN,T6,temporo-posterior,kanan,7.766,8.835,1.527,1.069,ok,video,0.0,True,False,-3.2012888313785837,-5.920131670139071,-7.733938857935236,-4.074511159399613
P25,NGEED,1,TAHAN,Fp1,frontopolar,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-4.3832922186497925,-0.03931187208553766,1.851173991084437,-3.4912728791575525
P25,NGEED,1,TAHAN,F3,frontal,kiri,9.314,10.814,2.0,1.5,ok,video,0.627,False,False,,,,
P25,NGEED,1,TAHAN,C3,sentral,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-5.321451907947193,-2.079101003062661,0.2889387717143066,-3.9397279686503275
P25,NGEED,1,TAHAN,P3,parietal,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-4.255762239853617,-1.409722467378355,1.5464497043032779,-2.4710550791517427
P25,NGEED,1,TAHAN,O1,oksipital,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-8.565517519819853,-4.263395407951247,0.30387878822709524,-4.048861405283837
P25,NGEED,1,TAHAN,F7,frontotemporal,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-4.48750907850205,-0.33808417439266236,2.2508554369185667,-2.5552369405464432
P25,NGEED,1,TAHAN,T3,temporal,kiri,9.314,10.814,2.0,1.5,ok,video,0.533,False,False,,,,
P25,NGEED,1,TAHAN,T5,temporo-posterior,kiri,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-9.64458568895213,-9.470407898489157,-2.5277584320857365,-7.898556382755533
P25,NGEED,1,TAHAN,Fp2,frontopolar,kanan,9.314,10.814,2.0,1.5,ok,video,0.0,True,False,-4.081043505535931,-4.266815972761101,-4.362294751072579,-1.8057656572723815
