participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P30,AGEM KANAN,2,NAIK,beta,-99.56719992670929,21.789729985612567,-99.56719992670929,21.789729985612567,
P30,AGEM KANAN,2,NAIK,mu,-99.08373786020043,150.87928681663587,-99.08373786020043,150.87928681663587,
P30,AGEM KANAN,2,POST,beta,-99.60787418921834,3536.833835645421,-99.60787418921834,3536.833835645421,
P30,AGEM KANAN,2,POST,mu,-99.77828864667202,13108.667759081123,-99.77828864667202,13108.667759081123,
P30,AGEM KANAN,2,POST,theta,-99.77940492628579,16236.198027821354,-99.77940492628579,16236.198027821354,
P30,AGEM KANAN,2,PRA,beta,-59.907314454673724,-25.584126384092073,-59.907314454673724,-25.584126384092073,0.40148098726414166
P30,AGEM KANAN,2,PRA,mu,-70.73204460425964,37.3561247468354,-70.73204460425964,37.3561247468354,
P30,AGEM KANAN,2,PRA,theta,-16.3785516881384,8.534460480216126,-16.3785516881384,8.534460480216126,
P30,AGEM KANAN,2,TAHAN,beta,-92.20123439223974,-25.592778493505136,-92.20123439223974,-25.592778493505136,0.5654655467365896
P30,AGEM KANAN,2,TAHAN,mu,-86.94870957842053,16.927897888585655,-86.94870957842053,16.927897888585655,
P30,AGEM KANAN,2,TAHAN,theta,-30.70134993311339,45.99445016037913,-30.70134993311339,45.99445016037913,
P30,AGEM KANAN,2,TURUN,beta,6.5097743807183805,4.692553615041836,6.5097743807183805,4.692553615041836,
P30,AGEM KANAN,2,TURUN,mu,95.12573163326601,128.61924340416374,95.12573163326601,128.61924340416374,
P30,AGEM KANAN,2,TURUN,theta,50.409025484199695,107.75310098627712,50.409025484199695,107.75310098627712,
P30,AGEM KANAN,3,NAIK,beta,178.5853132926657,-45.83344657029315,178.5853132926657,-45.83344657029315,
P30,AGEM KANAN,3,NAIK,mu,142.16077871423417,-43.96810980975461,142.16077871423417,-43.96810980975461,
P30,AGEM KANAN,3,NAIK,theta,1539.9739264428815,69.1329599175177,1539.9739264428815,69.1329599175177,
P30,AGEM KANAN,3,POST,beta,4170.528699355762,247.95030368481855,4170.528699355762,247.95030368481855,
P30,AGEM KANAN,3,POST,mu,4749.782079898123,643.6452446678873,4749.782079898123,643.6452446678873,
P30,AGEM KANAN,3,POST,theta,12601.530188580737,3848.974534102666,12601.530188580737,3848.974534102666,
P30,AGEM KANAN,3,PRA,beta,522.5324149180387,-60.13481303632525,522.5324149180387,-60.13481303632525,
P30,AGEM KANAN,3,PRA,mu,536.8322138139376,-56.59345809577862,536.8322138139376,-56.59345809577862,
P30,AGEM KANAN,3,PRA,theta,1692.4464838878455,-62.766178148374614,1692.4464838878455,-62.766178148374614,
P30,AGEM KANAN,3,TAHAN,beta,589.0626272888849,-88.44115991426187,589.0626272888849,-88.44115991426187,
P30,AGEM KANAN,3,TAHAN,mu,514.0584506617088,-86.73926989549368,514.0584506617088,-86.73926989549368,
P30,AGEM KANAN,3,TAHAN,theta,2208.380485286201,-80.6425520243062,2208.380485286201,-80.6425520243062,
P30,AGEM KANAN,3,TURUN,beta,3211.6465787275347,-77.71756770611387,3211.6465787275347,-77.71756770611387,
P30,AGEM KANAN,3,TURUN,mu,2608.511950664608,-73.68875148188782,2608.511950664608,-73.68875148188782,
P30,AGEM KANAN,3,TURUN,theta,13891.596368521963,-73.50573138889068,13891.596368521963,-73.50573138889068,
P30,AGEM KANAN,4,NAIK,beta,179.68131019411928,2666.699061666764,179.68131019411928,2666.699061666764,
P30,AGEM KANAN,4,NAIK,mu,443.2322606610405,6845.621166746639,443.2322606610405,6845.621166746639,
P30,AGEM KANAN,4,NAIK,theta,372.4352610832741,22989.69526993741,372.4352610832741,22989.69526993741,
P30,AGEM KANAN,4,POST,beta,894.4697643349108,343.63914389141064,894.4697643349108,343.63914389141064,
P30,AGEM KANAN,4,POST,mu,843.7484347965814,589.2701300582446,843.7484347965814,589.2701300582446,
P30,AGEM KANAN,4,POST,theta,614.9734383139462,1056.4259976203402,614.9734383139462,1056.4259976203402,
P30,AGEM KANAN,4,PRA,beta,1342.8708779970132,1627.8536711791178,1342.8708779970132,1627.8536711791178,
P30,AGEM KANAN,4,PRA,mu,3877.9789715712327,1982.3317018573732,3877.9789715712327,1982.3317018573732,
P30,AGEM KANAN,4,PRA,theta,5067.589697904212,4827.3173202774815,5067.589697904212,4827.3173202774815,
P30,AGEM KANAN,4,TAHAN,beta,36.85444969564563,593.3883359294921,36.85444969564563,593.3883359294921,
P30,AGEM KANAN,4,TAHAN,mu,285.8484159194974,332.6102873005375,285.8484159194974,332.6102873005375,
P30,AGEM KANAN,4,TAHAN,theta,206.0538578686191,273.65042829068494,206.0538578686191,273.65042829068494,
P30,AGEM KANAN,4,TURUN,beta,13323.806407272292,767.3184812275633,13323.806407272292,767.3184812275633,
P30,AGEM KANAN,4,TURUN,mu,11124.507689052823,1087.2341796791873,11124.507689052823,1087.2341796791873,
P30,AGEM KANAN,4,TURUN,theta,12291.501009629472,1311.0745538948709,12291.501009629472,1311.0745538948709,
P30,AGEM KIRI,1,NAIK,beta,1200.6845841891027,39197.09505504274,39197.09505504274,1200.6845841891027,
P30,AGEM KIRI,1,NAIK,mu,668.4311648706199,74396.7896586718,74396.7896586718,668.4311648706199,
P30,AGEM KIRI,1,POST,beta,415.3566331431921,32171.946598747876,32171.946598747876,415.3566331431921,
P30,AGEM KIRI,1,POST,mu,394.56772619695175,127965.51396114008,127965.51396114008,394.56772619695175,
P30,AGEM KIRI,1,POST,theta,16.739413217235928,232338.37686131144,232338.37686131144,16.739413217235928,
P30,AGEM KIRI,1,PRA,beta,-97.87872011395822,81.37916250587521,81.37916250587521,-97.87872011395822,
P30,AGEM KIRI,1,PRA,mu,-97.08674046704989,273.4686664061323,273.4686664061323,-97.08674046704989,
P30,AGEM KIRI,1,PRA,theta,-98.47783573378156,348.6983973759445,348.6983973759445,-98.47783573378156,
