participant_id,task,phase,channel,hemisphere,n_windows,offset_change_db,exponent_change,global_offset_db,is_simulated,theta_periodic_db,theta_relative_db,mu_periodic_db,mu_relative_db,beta_periodic_db,beta_relative_db,noise_floor_db
P08,NGEED,PRA,Fp1,kiri,4,7.884222064909352,0.37794740079078304,13.989929556050642,False,-0.7451146773071615,0.34981678113028214,-2.515767311069274,-0.33334746282674965,-0.8164602036412195,-0.31275479594406175,4.843022249720805
P08,NGEED,PRA,F3,kiri,4,13.380009525018082,0.34569168276951623,13.989929556050642,False,-1.1769328420859093,-0.08200138364846565,-2.417218237567816,-0.23479838932529162,-0.6872198921375,-0.18351448444034224,4.843022249720805
P08,NGEED,PRA,C3,kiri,4,12.994730897459226,0.6750051508721755,13.989929556050642,False,-2.4480520759424818,-1.353120617505038,-0.8961864903960084,1.2862333578465162,-0.18780368024719768,0.3159017274499601,4.843022249720805
P08,NGEED,PRA,P3,kiri,4,15.220359556304093,0.8550670234606987,13.989929556050642,False,-2.79197407147332,-1.6970426130358762,-0.9468250742230513,1.2355947740194733,0.055159707748529546,0.5588651154456873,4.843022249720805
P08,NGEED,PRA,O1,kiri,4,16.81852807302959,0.6315464537160589,13.989929556050642,False,-0.9252532807220915,0.1696781777153522,-2.8626284780698246,-0.6802086298273,-0.4660175404273878,0.03768786726976997,4.843022249720805
P08,NGEED,PRA,F7,kiri,4,15.690067310141576,0.5543257298847752,13.989929556050642,False,-1.012930074788978,0.08200138364846565,-2.955471628847286,-0.7730517806047614,-0.7710971475172179,-0.26739173982006015,4.843022249720805
P08,NGEED,PRA,T3,kiri,4,14.599849587083202,0.5189481830221463,13.989929556050642,False,-1.2052425520096033,-0.11031109357215962,-1.947621458917233,0.23479838932529162,-0.5413932749669277,-0.037687867269769915,4.843022249720805
P08,NGEED,PRA,T5,kiri,4,6.436000966872797,0.40528182858682515,13.989929556050642,False,-0.028400096972276412,1.0665313614651672,0.5409921781130987,2.723412026355623,0.683473977017473,1.1871793847146308,4.843022249720805
P08,NGEED,PRA,Fp2,kanan,4,8.765161641843724,0.266186553816365,8.880885347343153,False,-0.450380702109503,0.057286445692225074,-0.1944036843845165,0.623799792569474,-1.0194140744056175,-0.2676050726763436,4.843022249720805
P08,NGEED,PRA,F4,kanan,4,10.15947298037183,0.29698343462586085,8.880885347343153,False,-1.2245076753442552,-0.7168405275425271,2.702183084153223,3.5203865611072134,-1.6621863749703316,-0.9103773732410577,4.843022249720805
P08,NGEED,PRA,C4,kanan,4,11.5296107754678,0.5587206858732006,8.880885347343153,False,-0.4155606759470931,0.09210647185463494,-0.6849348826605474,0.13326859429344318,-1.0999017601936694,-0.34809275846439547,4.843022249720805
P08,NGEED,PRA,P4,kanan,4,1.963608243061774,0.027539077542879653,8.880885347343153,False,1.770756020443991,2.2784231682457188,-0.9514720712474336,-0.13326859429344307,-0.23017970803476479,0.521629293694509,4.843022249720805
