participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P29,NGEED,2,PRA,theta,C3,-32.92228030299492,-10.887526891143839,False
P29,NGEED,2,PRA,theta,C4,6616908.739699276,-0.27610758409115643,False
P29,NGEED,2,PRA,theta,P3,-37.26127655391125,-86.3968644621272,False
P29,NGEED,2,PRA,theta,P4,-96.30925473904739,-96.04451449278871,False
P29,NGEED,2,PRA,theta,O1,-57.33958617015962,213.62628320187062,False
P29,NGEED,2,PRA,theta,O2,-97.70429784566586,-96.78591663484494,False
P29,NGEED,2,PRA,mu,C3,-0.03609057527368398,-53.282491357435134,False
P29,NGEED,2,PRA,mu,C4,11775894.316022573,-36.35826313447373,False
P29,NGEED,2,PRA,mu,P3,-64.83896273098107,-90.34761754949335,False
P29,NGEED,2,PRA,mu,P4,-95.76750130167231,-92.41234502864842,False
P29,NGEED,2,PRA,mu,O1,-37.11581507166909,200.69761394661361,False
P29,NGEED,2,PRA,mu,O2,-99.03159814221537,-96.77312403271891,False
P29,NGEED,2,PRA,beta,C3,-63.646924865559825,-60.691220274379766,False
P29,NGEED,2,PRA,beta,C4,2891829.119328642,-39.75454353916139,False
P29,NGEED,2,PRA,beta,P3,-36.64071524393315,-84.13110067158753,False
P29,NGEED,2,PRA,beta,P4,-91.77720588651405,-89.27275863516651,False
P29,NGEED,2,PRA,beta,O1,-53.45362010127158,118.27909282668148,False
P29,NGEED,2,PRA,beta,O2,-98.17203919588586,-95.95266713789448,False
P29,NGEED,2,TURUN,theta,C3,-77.17868519637733,-69.68197769791858,False
P29,NGEED,2,TURUN,theta,C4,13762419.77089883,107.4127592987443,False
P29,NGEED,2,TURUN,theta,P3,-67.75530971159,-93.00864174026613,False
P29,NGEED,2,TURUN,theta,P4,-92.20171490756451,-91.64233739169826,False
P29,NGEED,2,TURUN,theta,O1,-95.00033648368783,-63.24400667711835,False
P29,NGEED,2,TURUN,theta,O2,-89.69779660537796,-85.5764649205102,False
P29,NGEED,2,TURUN,mu,C3,-72.72523913245979,-87.25331088103663,False
P29,NGEED,2,TURUN,mu,C4,14065188.433681818,-23.98608886757274,False
P29,NGEED,2,TURUN,mu,P3,-77.55786498929936,-93.83920137304777,False
P29,NGEED,2,TURUN,mu,P4,-96.01448385187506,-92.8551138298824,False
P29,NGEED,2,TURUN,mu,O1,-96.5753113423266,-83.62393169210857,False
P29,NGEED,2,TURUN,mu,O2,-97.52378124545412,-91.74882748877185,False
P29,NGEED,2,TURUN,beta,C3,-83.33624051224417,-81.98138537984798,False
P29,NGEED,2,TURUN,beta,C4,3488245.6540183406,-27.32983155952825,False
P29,NGEED,2,TURUN,beta,P3,-54.0618082501241,-88.49436916760197,False
P29,NGEED,2,TURUN,beta,P4,-86.89597218693474,-82.90482927552598,False
P29,NGEED,2,TURUN,beta,O1,-95.57469303709775,-79.24753780114509,False
P29,NGEED,2,TURUN,beta,O2,-93.78729719137554,-86.2443022939834,False
P29,NGEED,2,TAHAN,theta,C3,-99.3982327073741,-99.20055464133036,False
P29,NGEED,2,TAHAN,theta,C4,6188233.274622078,-6.736607734895095,False
P29,NGEED,2,TAHAN,theta,P3,200.89742638881117,-34.75881801003909,False
P29,NGEED,2,TAHAN,theta,P4,-97.99199439631022,-97.84795847390888,False
P29,NGEED,2,TAHAN,theta,O1,-99.84114560858085,-98.83215121752443,False
P29,NGEED,2,TAHAN,theta,O2,-97.06115524667676,-95.8854888833917,False
P29,NGEED,2,TAHAN,mu,C3,-99.30339870371265,-99.67444773551767,False
P29,NGEED,2,TAHAN,mu,C4,8662344.510924889,-53.185013563873106,False
P29,NGEED,2,TAHAN,mu,P3,69.2160816909787,-53.54692397835863,False
P29,NGEED,2,TAHAN,mu,P4,-99.20683966742745,-98.5780912483444,False
P29,NGEED,2,TAHAN,mu,O1,-99.64934999087916,-98.32327283571912,False
P29,NGEED,2,TAHAN,mu,O2,-99.43070940882043,-98.10302911719,False
P29,NGEED,2,TAHAN,beta,C3,-99.44595063332397,-99.40090337801563,False
P29,NGEED,2,TAHAN,beta,C4,2802540.5419859393,-41.61462754426273,False
P29,NGEED,2,TAHAN,beta,P3,134.88352431823523,-41.17132136735662,False
P29,NGEED,2,TAHAN,beta,P4,-96.48110696387228,-95.4093445105643,False
P29,NGEED,2,TAHAN,beta,O1,-99.3854185378724,-97.11792228926971,False
P29,NGEED,2,TAHAN,beta,O2,-98.25089156955676,-96.12725611293975,False
P29,NGEED,2,NAIK,theta,C3,-99.91724294377829,-99.89005759318538,False
P29,NGEED,2,NAIK,theta,C4,3982217.7281901296,-39.98311921376614,False
P29,NGEED,2,NAIK,theta,P3,547.442384845629,40.37975320914433,False
P29,NGEED,2,NAIK,theta,P4,85.5059766543417,98.81247560497692,False
P29,NGEED,2,NAIK,theta,O1,-99.97819980305341,-99.83973163578071,False
P29,NGEED,2,NAIK,theta,O2,255.4787892034485,397.6858434737398,False
P29,NGEED,2,NAIK,mu,C3,-99.88949216384965,-99.94835485306513,False
P29,NGEED,2,NAIK,mu,C4,4108039.4757421464,-77.79812689223775,False
P29,NGEED,2,NAIK,mu,P3,494.5315391174996,63.21036693382456,False
P29,NGEED,2,NAIK,mu,P4,-10.177783422102316,61.025445424091714,False
P29,NGEED,2,NAIK,mu,O1,-99.94365491501541,-99.7305708481108,False
P29,NGEED,2,NAIK,mu,O2,-12.877770855053361,190.3057498122927,False
P29,NGEED,2,NAIK,beta,C3,-99.95369510550316,-99.94993026336113,False
P29,NGEED,2,NAIK,beta,C4,759686.7113948944,-84.17191592458838,False
P29,NGEED,2,NAIK,beta,P3,332.00577670942704,8.1997091079552,False
P29,NGEED,2,NAIK,beta,P4,265.72503855215257,377.1152855788549,False
P29,NGEED,2,NAIK,beta,O1,-99.94859643593533,-99.75894315827556,False
P29,NGEED,2,NAIK,beta,O2,98.5027710096985,339.509855199498,False
P29,NGEED,2,POST,theta,C3,46.428780365596054,94.53002892217258,False
P29,NGEED,2,POST,theta,C4,2561326.7366734766,-61.39714267161946,False
P29,NGEED,2,POST,theta,P3,680.748153129031,69.28337659092409,False
P29,NGEED,2,POST,theta,P4,9.536559907515096,17.393709018033697,False
P29,NGEED,2,POST,theta,O1,262.3975623044009,2564.2357704332862,False
P29,NGEED,2,POST,theta,O2,225.07165010111336,355.11451958215343,False
P29,NGEED,2,POST,mu,C3,198.82578531537968,39.65436414433932,False
P29,NGEED,2,POST,mu,C4,10015294.9483391,-45.87317955484514,False
