participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P36,AGEM KANAN,3,NAIK,beta,1446.6096925510994,2050.389961612059,1446.6096925510994,2050.389961612059,
P36,AGEM KANAN,3,NAIK,mu,4373.421389238028,1490.9391069462285,4373.421389238028,1490.9391069462285,
P36,AGEM KANAN,3,NAIK,theta,21282.79845848287,1993.2309092417524,21282.79845848287,1993.2309092417524,
P36,AGEM KANAN,3,POST,beta,35907.57920443414,8683.7287890168,35907.57920443414,8683.7287890168,
P36,AGEM KANAN,3,POST,mu,72002.73376043227,3578.9774335015722,72002.73376043227,3578.9774335015722,
P36,AGEM KANAN,3,POST,theta,40681.49737021245,16421.42303595171,40681.49737021245,16421.42303595171,
P36,AGEM KANAN,3,PRA,beta,3353.8510991245644,-82.10911916676368,3353.8510991245644,-82.10911916676368,
P36,AGEM KANAN,3,PRA,mu,4201.194274754567,-95.25374368129339,4201.194274754567,-95.25374368129339,
P36,AGEM KANAN,3,PRA,theta,4440.226214930806,-98.58533663282468,4440.226214930806,-98.58533663282468,
P36,AGEM KANAN,3,TAHAN,beta,671.9855444728358,2108.8968528731784,671.9855444728358,2108.8968528731784,
P36,AGEM KANAN,3,TAHAN,mu,930.9215379076179,1717.7003712272713,930.9215379076179,1717.7003712272713,
P36,AGEM KANAN,3,TAHAN,theta,1663.712448432662,981.6737538198846,1663.712448432662,981.6737538198846,
P36,AGEM KANAN,3,TURUN,beta,9154.043977127598,6298.608085492522,9154.043977127598,6298.608085492522,
P36,AGEM KANAN,3,TURUN,mu,30392.00052930252,5270.3052181785415,30392.00052930252,5270.3052181785415,
P36,AGEM KANAN,4,NAIK,beta,1263.7572951163797,219246.1595727809,1263.7572951163797,219246.1595727809,
P36,AGEM KANAN,4,NAIK,mu,4187.408113786784,414184.5704539797,4187.408113786784,414184.5704539797,
P36,AGEM KANAN,4,NAIK,theta,16038.070283424442,1466299.0230999927,16038.070283424442,1466299.0230999927,
P36,AGEM KANAN,4,POST,beta,14498.937249529265,1148083.4953529257,14498.937249529265,1148083.4953529257,
P36,AGEM KANAN,4,POST,mu,28866.925332463732,4054735.2243219987,28866.925332463732,4054735.2243219987,
P36,AGEM KANAN,4,POST,theta,108484.68532128065,11090436.329349305,108484.68532128065,11090436.329349305,
P36,AGEM KANAN,4,PRA,beta,10813.409525111727,1197062.2048899254,10813.409525111727,1197062.2048899254,
