participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P09,AGEM KANAN,4,NAIK,beta,-13.217011894244967,22.064014774435925,-13.217011894244967,22.064014774435925,
P09,AGEM KANAN,4,NAIK,mu,-57.05555629912834,-8.340795412625308,-57.05555629912834,-8.340795412625308,0.7449155742085158
P09,AGEM KANAN,4,NAIK,theta,-52.42305470179091,-24.609666353228985,-52.42305470179091,-24.609666353228985,0.36105940394727165
P09,AGEM KANAN,4,POST,beta,1630.6267845572386,792.7432362978916,1630.6267845572386,792.7432362978916,
P09,AGEM KANAN,4,POST,mu,909.0974069267464,952.4952636676451,909.0974069267464,952.4952636676451,
P09,AGEM KANAN,4,POST,theta,2079.4131816760273,1214.4667277303317,2079.4131816760273,1214.4667277303317,
P09,AGEM KANAN,4,PRA,beta,-24.110430131413622,344.66712060362113,-24.110430131413622,344.66712060362113,
P09,AGEM KANAN,4,PRA,mu,-26.27892675173849,197.2746566566515,-26.27892675173849,197.2746566566515,
P09,AGEM KANAN,4,PRA,theta,-54.69481114714101,6.056146807933043,-54.69481114714101,6.056146807933043,
P09,AGEM KANAN,4,TURUN,beta,856.9357565576325,2598.4472314893933,856.9357565576325,2598.4472314893933,
P09,AGEM KANAN,4,TURUN,mu,662.8514856055963,2305.5721952605077,662.8514856055963,2305.5721952605077,
P09,AGEM KANAN,4,TURUN,theta,1525.1024769865085,1914.5159910618343,1525.1024769865085,1914.5159910618343,
P09,AGEM KIRI,2,NAIK,beta,288.07370113277926,98.25645350965362,98.25645350965362,288.07370113277926,
P09,AGEM KIRI,2,NAIK,mu,210.61236168392088,22.59351041822371,22.59351041822371,210.61236168392088,
P09,AGEM KIRI,2,NAIK,theta,11.288722633227867,25.203097545966084,25.203097545966084,11.288722633227867,
P09,AGEM KIRI,2,POST,beta,-25.388786507958066,-56.71448014949145,-56.71448014949145,-25.388786507958066,0.38154016176031275
P09,AGEM KIRI,2,POST,mu,90.21084426935853,-39.96588546116317,-39.96588546116317,90.21084426935853,
P09,AGEM KIRI,2,POST,theta,77.28575298640271,59.16444125036294,59.16444125036294,77.28575298640271,
P09,AGEM KIRI,2,PRA,beta,2887.897462124474,1060.6351096764538,1060.6351096764538,2887.897462124474,
P09,AGEM KIRI,2,PRA,mu,894.0392150578373,264.8183038832982,264.8183038832982,894.0392150578373,
P09,AGEM KIRI,2,PRA,theta,592.7747198366258,947.2745243466238,947.2745243466238,592.7747198366258,
P09,AGEM KIRI,2,TURUN,beta,1635.6976685101263,844.9690203393135,844.9690203393135,1635.6976685101263,
P09,AGEM KIRI,2,TURUN,mu,771.3680057961656,296.7051175884282,296.7051175884282,771.3680057961656,
P09,AGEM KIRI,2,TURUN,theta,358.7199513725507,515.8766450386495,515.8766450386495,358.7199513725507,
P09,AGEM KIRI,3,NAIK,beta,-91.08817095833622,54.19995735096385,54.19995735096385,-91.08817095833622,
P09,AGEM KIRI,3,NAIK,mu,-68.7156118105039,260.1972125561393,260.1972125561393,-68.7156118105039,
P09,AGEM KIRI,3,POST,beta,-74.64945059726995,180.53623693723011,180.53623693723011,-74.64945059726995,
P09,AGEM KIRI,3,POST,mu,-85.36506269332784,83.9165562104276,83.9165562104276,-85.36506269332784,
