participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P23,AGEM KANAN,2,PRA,theta,C3,170.9753648345382,4051.923847526003,False
P23,AGEM KANAN,2,PRA,theta,C4,765.5190879550197,1322.5413135945112,False
P23,AGEM KANAN,2,PRA,theta,P3,-30.748829062568404,2597.073390585357,False
P23,AGEM KANAN,2,PRA,theta,P4,344.9832836226594,1203.9090192738722,False
P23,AGEM KANAN,2,PRA,theta,O1,95.09770316979309,3718.807597892095,False
P23,AGEM KANAN,2,PRA,theta,O2,909.5513835700153,2134.1382376982997,False
P23,AGEM KANAN,2,PRA,mu,C3,272.2522764790938,3693.9333476763104,False
P23,AGEM KANAN,2,PRA,mu,C4,195.99471763937692,653.9446775052204,False
P23,AGEM KANAN,2,PRA,mu,P3,17.32177732153346,3257.9520939168738,False
P23,AGEM KANAN,2,PRA,mu,P4,608.9013058540377,1883.6783188611196,False
P23,AGEM KANAN,2,PRA,mu,O1,273.6842915179455,7804.2261330299625,False
P23,AGEM KANAN,2,PRA,mu,O2,266.84615999101686,2041.3272615677329,False
P23,AGEM KANAN,2,PRA,beta,C3,85.36698502498933,621.4772704416555,False
P23,AGEM KANAN,2,PRA,beta,C4,589.3771912402491,911.3417519708186,False
P23,AGEM KANAN,2,PRA,beta,P3,251.9271747787696,4106.635003203768,False
P23,AGEM KANAN,2,PRA,beta,P4,612.2701665722724,2308.035200815068,False
P23,AGEM KANAN,2,PRA,beta,O1,151.10697464531566,2813.2187238725733,False
P23,AGEM KANAN,2,PRA,beta,O2,720.2158433407824,3925.82504008035,False
P23,AGEM KANAN,2,TURUN,theta,C3,2766.9705907184198,43828.139272099324,False
P23,AGEM KANAN,2,TURUN,theta,C4,988.4562485889654,1688.9541700533453,False
P23,AGEM KANAN,2,TURUN,theta,P3,929.5742003065529,39998.05381903034,False
P23,AGEM KANAN,2,TURUN,theta,P4,220.54539382603235,839.2758008655576,False
P23,AGEM KANAN,2,TURUN,theta,O1,4014.157580783831,80429.78570818566,False
P23,AGEM KANAN,2,TURUN,theta,O2,1014.7916222141434,2367.0349927578554,False
P23,AGEM KANAN,2,TURUN,mu,C3,1195.1759537227047,13100.218111259837,False
P23,AGEM KANAN,2,TURUN,mu,C4,324.2149544462605,980.5416041665511,False
P23,AGEM KANAN,2,TURUN,mu,P3,1073.9972326249815,33501.83041500946,False
P23,AGEM KANAN,2,TURUN,mu,P4,158.93999864094644,624.5771124249194,False
P23,AGEM KANAN,2,TURUN,mu,O1,2862.850305558542,62570.653664142534,False
P23,AGEM KANAN,2,TURUN,mu,O2,329.3544522889209,2406.196040280924,False
