participant_id,pool,phase,n_seg,is_simulated,level,unit,offset_change,exponent_change,theta_periodic_db,mu_periodic_db,beta_periodic_db,hemisphere,area,n_valid,few_segments,r2,global_offset_db,theta_relative_db,mu_relative_db,beta_relative_db,artifact_prone,noise_floor_db
P31,SEMUA,PRA,10,False,belahan,kiri,3.455535474811196,0.14473072693138833,0.0026395097852469074,-0.3165799008017831,0.2865868429169611,,,,,,,,,,,2.0664423600992365
P31,SEMUA,PRA,10,False,belahan,kanan,5.828673372885419,0.10157838188144985,0.7123607578782456,1.0193255370683862,0.46801294381361,,,,,,,,,,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,Fp1,6.270613949891455,0.3884779754989516,-0.003112271888146001,0.14679056257023948,0.24376736326177106,kiri,frontopolar,8.0,False,0.978446761597656,3.455535474811196,-0.005751781673392908,0.4633704633720226,-0.04281947965519006,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,F3,-2.912530574990889,-0.06617501794916458,0.12483444076315076,-0.7531973480616374,0.48420386414568883,kiri,frontal,7.0,False,0.915695067041184,3.455535474811196,0.12219493097790385,-0.4366174472598543,0.1976170212287277,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,C3,1.551866093016244,0.1392877226482554,-0.43942359774226947,-0.2517407147184505,0.09386748396428996,kiri,sentral,10.0,False,0.9798547232053374,3.455535474811196,-0.4420631075275164,0.06483918608333261,-0.19271935895267117,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,P3,-2.1764708355102087,-0.057992197564685655,-0.22077013976691373,-0.3814190868851157,0.3671440133256365,kiri,parietal,6.0,False,0.9250704599297874,3.455535474811196,-0.22340964955216064,-0.06483918608333261,0.08055717040867538,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,O1,7.937809364973539,0.6704209993756078,-0.07048957766856101,-0.7141700980683803,-0.26731451239213,kiri,oksipital,8.0,False,0.979766209241733,3.455535474811196,-0.07312908745380792,-0.39759019726659717,-0.5539013553090911,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,F7,5.359204856606148,0.15017373121452127,0.2928896039037393,0.5695076952450528,0.3294063225721512,kiri,frontotemporal,8.0,False,0.9549473608634879,3.455535474811196,0.2902500941184924,0.886087596046836,0.04281947965519006,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,T3,-2.266077487819196,-0.0273656474119095,0.008391291458639816,-0.11286458995069193,0.4144468549435131,kiri,temporal,9.0,False,0.9490615363454052,3.455535474811196,0.005751781673392908,0.20371531085109118,0.12786001202655195,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,T5,8.359554696346123,0.5438038969966026,0.057028836067676836,-1.3211802393520165,0.004521272106409735,kiri,temporo-posterior,8.0,False,0.9855989078007072,3.455535474811196,0.05438932628242993,-1.0046003385502333,-0.2820655708105514,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,Fp2,4.441263711070185,0.13331627750516306,1.0716919008411705,2.3942595320954014,-0.03884551765793498,kanan,frontopolar,8.0,False,0.9762549167795026,5.828673372885419,0.3593311429629249,1.3749339950270152,-0.506858461471545,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,F4,-1.3430996096081316,-0.17699869958766934,1.5772367459232894,0.4301683365934048,0.17729771034019626,kanan,frontal,8.0,False,0.9807297177299263,5.828673372885419,0.8648759880450438,-0.5891572004749814,-0.29071523347341377,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,C4,4.498763050285518,0.06984048625773664,1.524987790980846,-1.9018961353431494,0.5933319883996045,kanan,sentral,9.0,False,0.9683978776026407,5.828673372885419,0.8126270331026004,-2.9212216724115354,0.12531904458599452,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,P4,7.932746691999768,0.010526488655866917,0.3530296149153206,1.297914603393393,1.5606489588424979,kanan,parietal,8.0,False,0.9584969066902672,5.828673372885419,-0.359331142962925,0.2785890663250068,1.0926360150288879,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,O2,10.764329123988041,0.30118655641690983,-0.4013854579994358,0.926182341573329,0.3426938992276155,kanan,oksipital,8.0,False,0.9301569908781483,5.828673372885419,-1.1137462158776814,-0.09314319549505723,-0.12531904458599452,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,F8,6.749179959088629,0.3364679398412327,1.841802156084651,1.1124687325634435,0.979692309739853,kanan,frontotemporal,9.0,False,0.9608473103110728,5.828673372885419,1.1294413982064053,0.09314319549505723,0.511679365926243,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,T4,4.908166786682209,-0.12792794015044273,-0.06421483181346777,1.480951664340283,0.1296622318108136,kanan,temporal,10.0,False,0.975246076481242,5.828673372885419,-0.7765755896917134,0.46162612727189667,-0.3383507120027964,,2.0664423600992365
P31,SEMUA,PRA,10,False,kanal,T6,10.9138002710567,0.21411784250801924,-0.4135288474524146,-0.4646644970819671,0.8757995461200984,kanan,temporo-posterior,9.0,False,0.9668616091197711,5.828673372885419,-1.1258896053306602,-1.4839900341503534,0.40778660230648833,,2.0664423600992365
P31,SEMUA,PRA,10,False,area,frontopolar,6.1375188595989485,0.3766886929698996,0.1320218272284368,0.2884183538200378,0.27108194047446754,,frontopolar,8.0,False,0.9807557353681288,,,,,True,2.0664423600992365
P31,SEMUA,PRA,10,False,area,frontal,-1.034529047719289,-0.06303532428024905,1.1867912379746304,-0.34731801648698957,0.33514807851380646,,frontal,10.0,False,0.9840582076607958,,,,,False,2.0664423600992365
P31,SEMUA,PRA,10,False,area,frontotemporal,6.056330160599913,0.28586342376460583,1.2669153987509352,0.8253492559605311,0.7109693694083459,,frontotemporal,10.0,False,0.9721889758776933,,,,,True,2.0664423600992365
P31,SEMUA,PRA,10,False,area,sentral,3.929294651206426,0.13941977121954774,0.7427201676539634,-1.3238227246034033,0.341836816107395,,sentral,10.0,False,0.9882820149172264,,,,,False,2.0664423600992365
P31,SEMUA,PRA,10,False,area,temporal,5.614687788861779,0.24831172799791923,0.2321501226197753,1.337652521778519,0.2971084069712324,,temporal,10.0,False,0.9813801895721996,,,,,True,2.0664423600992365
P31,SEMUA,PRA,10,False,area,parietal,8.063447969424494,0.48572890919016065,0.5863173776415237,-0.03252320302308709,0.8580501259360747,,parietal,10.0,False,0.9841844170044894,,,,,False,2.0664423600992365
P31,SEMUA,PRA,10,False,area,temporo-posterior,9.513312714768986,0.32225216252798083,-0.55038930457949,-1.0529253506059928,0.7168314650240549,,temporo-posterior,10.0,False,0.9772011976637004,,,,,False,2.0664423600992365
P31,SEMUA,PRA,10,False,area,oksipital,9.731078145299414,0.6523679423825128,-0.40703170201170646,-0.5153477866667298,-0.33090503870067445,,oksipital,8.0,False,0.9833100731844177,,,,,False,2.0664423600992365
P31,SEMUA,TURUN,10,False,belahan,kiri,16.683354637203237,1.007661767858417,0.419228149865688,-0.4783360615981913,0.10363888471302513,,,,,,,,,,,2.0664423600992365
P31,SEMUA,TURUN,10,False,belahan,kanan,12.175059020733514,0.2687818053555072,1.1629840446465387,0.9957965760128333,-0.06908058142432036,,,,,,,,,,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,Fp1,13.96084834628072,0.7813640404400419,0.4160159269942143,-1.1290077333379864,0.04067714346013318,kiri,frontopolar,10.0,False,0.9943459108851493,16.683354637203237,-0.0032122228714737133,-0.6506716717397951,-0.06296174125289195,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,F3,16.8270914033548,1.065676524869754,0.1907111547365442,-1.7953976652230206,-0.031033320880902715,kiri,frontal,6.0,False,0.9921335903397226,16.683354637203237,-0.2285169951291438,-1.3170616036248293,-0.13467220559392784,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,C3,16.539617871051675,0.8884431071926315,1.4985487788099345,0.15071074266003182,0.0780160257282847,kiri,sentral,10.0,False,0.9955976033917088,16.683354637203237,1.0793206289442465,0.6290468042582231,-0.025622858984740426,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,P3,17.310770034155155,1.156223599447591,-0.027007721013740493,-1.0162784841898214,0.12926174369776555,kiri,parietal,6.0,False,0.9956949525412474,16.683354637203237,-0.4462358708794285,-0.53794242259163,0.025622858984740426,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,O1,14.93706268378687,1.0164109530182728,1.556689456411429,-0.4909693351080664,0.21519805736733333,kiri,oksipital,9.0,False,0.9952883605359374,16.683354637203237,1.137461306545741,-0.012633273509875087,0.1115591726543082,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,F7,15.548967776223982,0.7026895969935272,0.42244037273716173,-0.30120134821066546,0.02209632501735237,kiri,frontotemporal,10.0,False,0.9942411069782549,16.683354637203237,0.0032122228714737133,0.17713471338752584,-0.08154255969567276,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,T3,17.756054187425903,1.1841429869729252,0.30585371958064544,-0.4657027880883162,0.13219641835789664,kiri,temporal,7.0,False,0.9937651853299013,16.683354637203237,-0.11337443028504257,0.012633273509875087,0.028557533644871513,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,T5,16.827150618622618,0.9989125826985612,1.9357956260319247,1.960545858807599,0.8973076972142405,kiri,temporo-posterior,9.0,False,0.9961321391842258,16.683354637203237,1.5165674761662367,2.43888192040579,0.7936688125012155,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,Fp2,12.16754583769712,0.23510772629895138,1.217360648539302,1.6391686611630594,-0.3284725077928145,kanan,frontopolar,10.0,False,0.9915511502825937,12.175059020733514,0.05437660389276333,0.643372085150226,-0.2593919263684942,,2.0664423600992365
P31,SEMUA,TURUN,10,False,kanal,F4,6.256469946773052,-0.038396202077092045,1.2446932542383986,0.38330112305805786,-0.13125706304073004,kanan,frontal,10.0,False,0.9943123592542683,12.175059020733514,0.0817092095918599,-0.6124954529547755,-0.06217648161640968,,2.0664423600992365
