participant_id,pool,phase,n_seg,is_simulated,level,unit,offset_change,exponent_change,theta_periodic_db,mu_periodic_db,beta_periodic_db,hemisphere,area,n_valid,few_segments,r2,global_offset_db,theta_relative_db,mu_relative_db,beta_relative_db,artifact_prone,noise_floor_db
P11,SEMUA,PRA,12,False,belahan,kiri,1.567603509486542,0.02283080545643723,-1.196717316674012,-0.07891670606082823,-0.1118416795621548,,,,,,,,,,,1.963127960787771
P11,SEMUA,PRA,12,False,belahan,kanan,1.9875244293593788,0.10979703034775423,0.10841538474790169,-0.6450721321205604,0.8590144805781847,,,,,,,,,,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,Fp1,-1.4435908717775163,-0.15180996277090775,-0.8773786707662385,0.2282434538647995,0.09151260033610868,kiri,frontopolar,12.0,False,0.8428765793950438,1.567603509486542,0.3193386459077734,0.30716015992562773,0.2033542798982635,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,F3,4.8520150183815645,0.13221139584412445,-2.6714420790984277,-0.444480719834631,0.4567178114603192,kiri,frontal,8.0,False,0.9419187849955459,1.567603509486542,-1.4747247624244157,-0.36556401377380277,0.568559491022474,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,C3,3.9055581663454007,0.18507588492688454,0.5553480363051748,-0.13157172989910926,0.04150317010445681,kiri,sentral,8.0,False,0.9510044010008564,1.567603509486542,1.7520653529791868,-0.05265502383828102,0.1533448496666116,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,P3,5.030885682210005,0.3977607558853449,0.9583988185561225,2.1260421805571164,0.9903521403743533,kiri,parietal,7.0,False,0.9375546644275556,1.567603509486542,2.1551161352301342,2.204958886617945,1.102193819936508,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,O1,3.987005642904826,0.017604849146137136,0.5236521296260166,-0.8637746272840618,-0.5864931268265717,kiri,oksipital,8.0,False,0.9665731903244089,1.567603509486542,1.7203694463000285,-0.7848579212232336,-0.47465144726441694,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,F7,-0.7703511473723168,-0.04278545417958646,-1.516055962581785,-0.02626168222254721,-0.4320161640154403,kiri,frontotemporal,8.0,False,0.9153991812056568,1.567603509486542,-0.31933864590777317,0.05265502383828102,-0.3201744844532855,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,T3,-0.916303788439194,-0.0065308732943849535,-2.459572439066455,-0.15719303907391025,-0.5102162828617307,kiri,temporal,7.0,False,0.8268618311161459,1.567603509486542,-1.262855122392443,-0.07827633301308201,-0.3983746032995759,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,T5,-4.068246431865518,0.028056761766737326,-3.0496462608515813,0.5063809731555748,-0.2651865292287664,kiri,temporo-posterior,9.0,False,0.8665177331576687,1.567603509486542,-1.8529289441775694,0.5852976792164031,-0.1533448496666116,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,Fp2,2.9093354770621787,0.10896933117877894,2.661900781321715,0.0341895885598662,0.4377581625315419,kanan,frontopolar,9.0,False,0.9911214202615116,1.9875244293593788,2.553485396573813,0.6792617206804266,-0.4212563180466429,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,F4,2.0565049875407695,0.2834045504308065,-0.9173177480035777,-1.4634594589040613,1.655171575948966,kanan,frontal,12.0,False,0.9733427014035281,1.9875244293593788,-1.0257331327514794,-0.8183873267835009,0.7961570953707813,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,C4,2.512426709108567,0.13301483054970764,1.0631835866781807,-0.645139506497526,0.6912938378794546,kanan,sentral,12.0,False,0.9850225589318595,1.9875244293593788,0.954768201930279,-6.737437696568982e-05,-0.1677206426987301,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,P4,1.4390326719314075,0.07560658335796622,0.7869048172689548,-0.6528943464834565,0.668641274310465,kanan,parietal,12.0,False,0.9812306325678851,1.9875244293593788,0.6784894325210531,-0.007822214362896096,-0.1903732062677197,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,O2,1.918543871177988,0.11062472951672953,1.5512335665618382,-0.6450047577435947,0.9404873670358842,kanan,oksipital,12.0,False,0.9773335575903201,1.9875244293593788,1.4428181818139365,6.737437696568982e-05,0.08147288645769946,,1.963127960787771
P11,SEMUA,PRA,12,False,kanal,F8,4.817926105759071,0.3823814418336766,-0.6427713200399687,0.14722955102575108,1.3294990282743842,kanan,frontotemporal,12.0,False,0.9882975482359506,1.9875244293593788,-0.7511867047878704,0.7923016831463114,0.4704845476961994,,1.963127960787771
